iter	Passed	Remaining
0	449	224494
1	736	183351
2	1013	167929
3	1294	160538
4	1575	155951
5	1868	153863
6	2143	150981
7	2399	147580
8	2680	146259
9	2933	143731
10	3199	142244
11	3461	140781
12	3709	138981
13	3961	137517
14	4241	137157
15	4750	143711
16	6268	178113
17	7305	195631
18	8063	204137
19	8964	215153
20	9314	212460
21	10028	217890
22	10508	217943
23	11211	222359
24	11742	223107
25	12304	224325
26	12765	223625
27	13427	226343
28	14091	228857
29	14734	230838
30	15175	229594
31	15692	229498
32	15993	226334
33	16325	223756
34	16678	221580
35	16976	218809
36	17313	216654
37	17636	214428
38	17992	212674
39	18303	210486
40	18582	208036
41	18862	205693
42	19223	204303
43	19484	201930
44	19743	199624
45	19975	197146
46	20249	195173
47	20461	192682
48	20687	190413
49	20949	188546
50	21251	187092
51	21602	186113
52	21897	184681
53	22203	183382
54	22491	181976
55	22787	180668
56	23052	179159
57	23319	177707
58	23606	176446
59	23925	175455
60	24230	174378
61	24676	174325
62	25032	173637
63	25382	172916
64	25687	171905
65	25998	170956
66	26837	173445
67	27378	173933
68	27891	174220
69	28274	173688
70	28669	173231
71	29095	172956
72	29478	172426
73	29846	171820
74	30277	171571
75	30679	171156
76	31026	170446
77	31411	169942
78	31879	169890
79	32302	169587
80	32711	169213
81	33092	168692
82	33458	168096
83	33856	167672
84	34278	167358
85	34669	166899
86	35083	166547
87	35411	165792
88	35816	165399
89	36258	165178
90	36635	164657
91	37046	164291
92	37454	163912
93	37834	163414
94	38237	163013
95	38646	162635
96	39058	162275
97	39528	162148
98	39974	161918
99	40415	161662
100	40838	161330
101	41267	161024
102	41593	160317
103	41952	159741
104	42313	159180
105	42650	158530
106	43013	157985
107	43382	157462
108	43741	156908
109	44131	156464
110	44494	155931
111	44825	155288
112	45164	154676
113	45554	154245
114	45955	153852
115	46325	153351
116	46680	152807
117	47088	152438
118	47638	152523
119	48234	152743
120	48557	152092
121	48916	151560
122	49274	151028
123	49571	150314
124	49861	149584
125	50130	148799
126	50432	148120
127	50713	147385
128	50990	146646
129	51316	146055
130	51646	145476
131	51977	144906
132	52281	144266
133	52607	143689
134	52891	143003
135	53231	142473
136	53613	142055
137	53925	141457
138	54268	140941
139	54604	140411
140	54933	139866
141	55282	139372
142	55650	138931
143	55974	138381
144	56290	137815
145	56595	137224
146	56934	136720
147	57272	136215
148	57603	135696
149	57953	135225
150	58260	134655
151	58578	134114
152	58876	133529
153	59205	133020
154	59626	132717
155	59994	132296
156	60336	131818
157	60710	131412
158	61002	130829
159	61317	130299
160	61729	129976
161	62097	129561
162	62499	129216
163	63008	129090
164	63498	128921
165	64016	128805
166	64416	128447
167	65308	129061
168	65791	128857
169	66114	128339
170	66404	127760
171	66786	127359
172	67139	126905
173	67476	126421
174	67841	125991
175	68119	125401
176	68401	124823
177	68760	124386
178	69036	123802
179	69322	123239
180	69619	122700
181	69962	122242
182	70347	121858
183	70699	121419
184	71009	120907
185	71386	120512
186	71738	120075
187	72082	119626
188	72373	119090
189	72768	118727
190	73081	118231
191	73414	117769
192	73757	117324
193	74067	116828
194	74394	116360
195	74773	115974
196	75137	115566
197	75434	115057
198	75756	114586
199	76055	114082
200	76503	113804
201	76920	113476
202	77304	113100
203	77774	112848
204	78257	112614
205	78647	112244
206	79035	111872
207	79460	111549
208	79894	111240
209	80372	110990
210	80804	110675
211	81273	110409
212	81716	110105
213	82148	109786
214	82551	109428
215	82934	109043
216	83361	108715
217	83778	108373
218	84115	107928
219	84468	107504
220	84860	107131
221	85258	106764
222	85667	106411
223	86097	106084
224	86469	105685
225	86819	105259
226	87210	104883
227	87596	104501
228	87949	104080
229	88312	103671
230	88736	103334
231	89099	102925
232	89491	102550
233	89925	102223
234	90377	101915
235	90798	101570
236	91270	101282
237	91704	100952
238	92118	100598
239	92464	100169
240	92836	99770
241	93189	99350
242	93580	98972
243	94040	98665
244	94476	98332
245	94901	97988
246	95308	97624
247	96099	97649
248	96678	97454
249	97071	97071
250	97434	96658
251	97866	96312
252	98451	96116
253	98835	95722
254	99248	95356
255	99652	94980
256	100107	94654
257	100531	94297
258	100970	93953
259	101357	93560
260	101889	93301
261	102360	92983
262	102805	92642
263	103247	92297
264	103679	91942
265	104095	91573
266	104472	91169
267	104950	90852
268	105439	90544
269	105899	90210
270	106313	89837
271	106756	89486
272	107182	89122
273	107566	88722
274	107958	88329
275	108469	88033
276	108887	87660
277	109257	87248
278	109690	86887
279	110121	86523
280	110565	86169
281	111104	85889
282	111641	85604
283	112093	85254
284	112564	84917
285	113003	84554
286	113407	84166
287	113833	83793
288	114168	83354
289	114551	82951
290	114856	82491
291	115260	82103
292	115628	81689
293	116038	81305
294	116435	80912
295	116793	80492
296	117172	80087
297	117558	79687
298	117974	79306
299	118355	78903
300	118730	78495
301	119071	78066
302	119489	77688
303	119883	77293
304	120224	76864
305	120663	76499
306	121012	76076
307	121357	75651
308	121683	75215
309	122023	74788
310	122354	74356
311	122712	73942
312	123014	73494
313	123381	73086
314	123764	72687
315	124233	72338
316	124650	71959
317	125063	71577
318	125429	71168
319	125822	70775
320	126225	70387
321	126611	69990
322	127021	69606
323	127495	69256
324	127914	68876
325	128291	68474
326	128687	68082
327	129036	67665
328	129375	67244
329	129756	66844
330	130109	66430
331	130476	66024
332	130868	65630
333	131220	65217
334	131572	64804
335	131949	64404
336	132297	63989
337	132669	63587
338	133091	63208
339	133442	62796
340	133848	62410
341	134256	62024
342	134697	61654
343	135147	61287
344	135649	60943
345	136142	60595
346	136636	60245
347	137114	59889
348	137510	59495
349	137981	59134
350	138403	58752
351	138811	58363
352	139184	57960
353	139583	57568
354	139970	57171
355	140312	56755
356	140710	56362
357	141073	55956
358	141441	55552
359	141881	55176
360	142227	54763
361	142606	54363
362	142932	53944
363	143302	53541
364	143598	53111
365	143988	52717
366	144344	52310
367	144758	51924
368	145099	51512
369	145506	51123
370	145873	50721
371	146258	50325
372	146682	49942
373	147020	49531
374	147355	49118
375	147710	48712
376	148031	48296
377	148421	47903
378	148814	47510
379	149228	47124
380	149566	46714
381	149945	46318
382	150253	45899
383	150622	45500
384	150963	45093
385	151322	44691
